"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"Los Angeles","CA","Los Angeles, CA","06","037",1,399000,389000,398000,397900,399000,397000,394900,399000,384900,375000,370000,359000,350000,350000,350000,350000,350000,359000,357000,350000,349900,345000,339000,330000,329900,329999,337750,340000,349000,359900,369000,369900,374900,374999,378800,379900,389000,399000,425000,449500,465000,479000,488000,485000,488000,479000,474900,468000,459900,469000,475000,490000,499881,5e+05,510000,508000,515000,499990,509000,499000,490000,499000,518308.5,537900,560000,569000,569888,569999,569900,570000,565000,564994.5,565000,579000,589000,598800,599000,6e+05,599995,599000,599000,599900,599995,599000,599500,599900,613528.5,628000,639000,639000,639000,635000,629999,630000,629900,625000,629000,639999,649000,659000,665000,675000,658000,659000
"Cook","IL","Chicago, IL","17","031",2,244900,249000,249000,249000,245000,245000,239000,237900,225000,229000,225000,214900,201990,202000,208450,210000,214900,210000,205000,199900,199000,190000,185000,179900,178000,179000,179900,184900,184900,180900,176600,175000,171000,169900,169900,165000,167000,175000,180000,190000,199900,207500,2e+05,199900,205000,199900,199000,189900,185125,199000,216000,225000,234900,238000,237000,231000,229500,224900,219900,214775,2e+05,215000,229450,233500,239900,239900,239000,235000,230000,229999,229000,224900,224900,235000,249000,255900,259900,259900,254000,249900,249900,249500,245000,237900,239000,250000,264900,269900,274900,276900,275000,269900,269900,269500,262988,254900,259000,274500,279900,289900,294000,294000,289900,286500
"Harris","TX","Houston, TX","48","201",3,149900,152866,154691.5,154900,155000,155000,151300,150000,155000,154900,155000,153190,150000,150123,153995,154000,155000,155000,154900,153900,149900,150000,149900,149900,149900,149950,151995,154500,156900,158925,157900,158990,158000,155827,159900,162000,161948,169900,174500,177839,179523,179950,179990,181982,184900,189900,187500,188551.5,189990,199900,204990,214900,219000,218000,219000,223990,225000,227990,235000,244266,255000,260000,266990,275000,265000,255000,269900,270000,274900,277990,277068,283945,285000,274000,279900,279900,278000,279886,275000,275000,272000,269900,269900,269900,269000,269990,272990,275990,278500,275000,270000,270000,275000,275000,275000,278500,279990,283000,284999,284900,284999.5,281925,279900,275000
"Maricopa","AZ","Phoenix, AZ","04","013",4,179900,176000,174900,169900,165000,159900,155000,152910,150000,149500,149000,144900,142989,140000,139999,139900,140000,142500,141990,145000,145000,149900,150000,151940,159900,164900,171000,179900,180000,184900,185000,188900,189700,195000,199900,200945,209000,216500,224900,229900,237000,239000,239900,235000,235000,236812,238850,239438.5,239990,241000,249000,249900,252958,255000,250000,250000,254000,255000,255000,257900,259500,260000,269000,275000,279000,278490,270000,279000,279500,279900,284000,284700,285000,288350,289000,290000,293000,294900,290000,289000,289500,289000,289000,289756,289900,294900,297500,299900,299999,299900,299900,297900,299000,299900,299900,299900,304847,309000,309900,312966,314000,310000,308000,305000
"San Diego","CA","San Diego, CA","06","073",5,399000,399000,399738.5,399999,4e+05,399900,399900,404000,399000,389990,385000,374900,365888,358800,355000,365000,370000,374900,369900,359000,349900,349000,349000,349000,349000,344900,349000,349900,364500,370888,375000,377700,375000,379900,379000,380000,389900,399000,419900,430000,449000,450000,460000,460000,459990,459000,450000,455000,463450,469900,479000,494900,464172.5,489000,499000,499000,495000,489900,499000,489000,489000,495000,525000,539000,550000,529000,560100,560000,565900,569000,570000,579900,575000,575000,575000,580000,588000,589000,590000,585000,585000,580000,575000,575000,579000,579900,585000,598300,599900,599000,599000,599000,598000,595000,595000,590000,594900,599000,609000,619000,650000,650000,649000,646900
"Orange","CA","Los Angeles, CA","06","059",6,550000,528500,509900,519000,519000,520000,509000,525000,498800,489500,495000,470000,461215,459000,459000,465000,469000,469000,465000,459900,450000,449000,434990,425000,429000,430000,440000,450000,470000,480000,489650,499000,495000,495112.5,499500,5e+05,5e+05,535000,559000,570100,595000,599900,599999,599900,599900,599900,599999,599900,599000,599950,614900,625000,629800,639000,638880,639900,649000,644100,649000,639900,638000,649000,659900,674900,689000,698700,689944.5,689000,690000,695000,689000,695000,689700,697250,699000,699999,710000,718000,715000,715000,715000,719999.5,719900,723990,725000,735000,749000,759000,759900,750000,755000,750000,765800,757500,759990,760000,778000,789000,789828.5,799000,799000,799000,798000,787694
"Kings","NY","New York, NY","36","047",7,479000,479000,469000,469000,465000,469000,469000,479000,469000,469000,475000,470000,469000,449000,455000,450000,454000,449000,449000,449000,449000,449000,449000,449000,449000,449000,450000,465000,476175,465000,459000,450000,449000,440000,439000,435000,430000,439000,450000,459000,469000,469500,449000,449900,465000,469000,499000,499000,512000,499000,519000,525000,529000,535000,549000,549000,549000,595000,599000,599000,649000,639000,650000,655000,699000,699000,699000,699000,725000,729000,709000,719000,766500,786275,775000,799000,795000,790000,780000,795000,799000,825000,815000,825000,812000,829000,839000,835000,833245.5,830000,828000,810000,819000,815000,808000,799000,799000,764000,750000,780000,799000,797500,790000,769000
"Miami-Dade","FL","Miami, FL","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227000,235000,248163,250000,250000,254000,258750,259000,269900,249900,249000,254000,270000,270000,274900,278000,275000,279000,279500,280000,279000,280000,289000,289000,310000,315000,311000,315000,320000,320000,299000,299000,325000,329000,335000,339900,359000,365000,369000,369000,360000,375000,375450,375000,379000,376990,379900,379000,379500,379900,380000,380000,380000,380000,385000,389000,389200,385000,389000,385000,389900,394000,390000,390000,395000,395000,399000,398000,398000,395000
"Dallas","TX","Dallas, TX","48","113",9,159900,159990,164900,169000,168000,169000,165000,159900,159999,159999,159500,149900,146900,147990,149900,149900,154900,155000,154900,150000,149900,149900,149500,147500,144900,149000,149900,150000,159900,161490,158995,157000,154900,158000,159900,159999,159900,162000,175000,180000,185000,184900,180000,179810,179900,179900,179900,179900,179500,184000,190000,197000,209000,195995,199000,212000,199900,199900,2e+05,209900,214900,225000,236375,240000,243625,239900,229000,229999.5,237500,240035,245000,245000,244900,244900,265000,275000,279900,279900,276250,275000,279900,285000,280900,281113,284900,295000,299000,314000,320000,315000,309500,3e+05,299900,3e+05,299999,299900,299500,309000,310000,317950,325000,319929,315000,299999
"Queens","NY","New York, NY","36","081",10,410000,405000,375000,375000,379000,379000,369900,379000,389000,389000,385000,380000,379000,365000,369000,359000,359000,359000,349000,346450,339000,325000,325000,325000,325000,319999,309000,319000,309000,317750,325000,318000,309888,310000,315000,310000,305000,319000,299944.5,319000,325000,328000,335000,339000,349000,349000,349000,349000,349000,345000,359000,365000,365000,369900,375000,379000,379000,379000,389000,389000,391500,399000,399999,399000,410000,425000,429000,438000,439000,449000,440000,443800,459450,475000,475000,475000,479999,488888,488894,489000,489000,489000,486300,489000,495000,499000,499999,519000,539999,549945,550000,550000,558888,565000,568000,559000,559000,539999.5,529000,545000,579000,589000,598000,589000
