MunicipalCodeFIPS,Name,Median Age 2010,Population 2010,Poverty Count 2010,Household Income 2010,Per Capita Income 2010,Median Value Housing Units 2010,Median Age 2011,Population 2011,Poverty Count 2011,Household Income 2011,Per Capita Income 2011,Median Value Housing Units 2011,Median Age 2012,Population 2012,Poverty Count 2012,Household Income 2012,Per Capita Income 2012,Median Value Housing Units 2012,Median Age 2013,Population 2013,Poverty Count 2013,Household Income 2013,Per Capita Income 2013,Median Value Housing Units 2013,Median Age 2014,Population 2014,Poverty Count 2014,Household Income 2014,Per Capita Income 2014,Median Value Housing Units 2014,Median Age 2015,Population 2015,Poverty Count 2015,Household Income 2015,Per Capita Income 2015,Median Value Housing Units 2015,Median Age 2016,Population 2016,Poverty Count 2016,Household Income 2016,Per Capita Income 2016,Median Value Housing Units 2016,Zillow Median Value Housing 2010,Zillow Median Value Housing 2011,Zillow Median Value Housing 2012,Zillow Median Value Housing 2013,Zillow Median Value Housing 2014,Zillow Median Value Housing 2015,Zillow Median Value Housing 2016,Zillow Median Value Housing 2017,Zillow Median Value Housing 2018
13,"Barrow County, Georgia",32.9,66359.0,8295.0,48958.0,20882.0,138900.0,33.1,68061,8912,50604,20740,137300,33.6,69136.0,9356.0,51202.0,20845.0,131900.0,34.2,69933.0,9518.0,53274.0,21379.0,127000.0,34.4,70873.0,9460.0,53256.0,21185.0,122600.0,34.8,72012.0,10902.0,52012.0,21411.0,119700.0,35.0,73340.0,10548.0,53133.0,21978.0,123200.0,130150.0,101891.66666666667,96191.66666666667,121120.83333333333,143908.875,156055.25,169008.33333333334,184349.58333333334,201605.625
15,"Bartow County, Georgia",36.1,97423.0,13472.0,49216.0,22241.0,146800.0,36.2,98905,15076,49060,22324,147000,36.7,99872.0,15831.0,49543.0,21884.0,137600.0,36.7,100382.0,16996.0,47197.0,21022.0,128500.0,37.2,100771.0,16219.0,48306.0,21715.0,123900.0,37.4,101336.0,15819.0,48893.0,22592.0,123800.0,37.4,101942.0,14899.0,50565.0,23376.0,128200.0,135982.375,121733.95833333333,111964.58333333333,127450.0,144440.0,158712.5,180064.66666666666,196071.875,205881.25
45,"Carroll County, Georgia",33.2,109227.0,18339.0,45559.0,20523.0,139900.0,33.5,110292,19253,45752,20739,136100,33.6,110750.0,19101.0,46704.0,21047.0,126000.0,33.7,111160.0,20274.0,46147.0,21227.0,118500.0,33.9,111872.0,21455.0,45009.0,21384.0,115600.0,34.0,112595.0,22441.0,43586.0,21320.0,112100.0,34.1,113756.0,21157.0,45486.0,22002.0,113700.0,116294.58333333333,92822.91666666667,90464.33333333333,113433.33333333333,128007.83333333333,132591.66666666666,144666.625,156516.66666666666,173343.375
57,"Cherokee County, Georgia",35.7,206283.0,15143.0,66320.0,30217.0,201900.0,36.1,211316,16113,66717,29968,198000,36.4,215014.0,17855.0,67928.0,29939.0,194400.0,36.7,218277.0,21292.0,67261.0,29615.0,190400.0,37.0,221951.0,22675.0,67371.0,30299.0,186900.0,37.4,225944.0,24273.0,68926.0,30595.0,190500.0,37.7,230629.0,22891.0,72586.0,32002.0,204400.0,206352.16666666666,181889.16666666666,181713.125,213870.20833333334,236366.66666666666,257103.41666666666,283355.0416666667,302666.9583333333,324638.3125
63,"Clayton County, Georgia",31.1,260156.0,42408.0,43311.0,18958.0,127800.0,31.3,260756,46881,42936,18835,121300,31.7,262066.0,55125.0,42569.0,18445.0,111200.0,32.0,262455.0,61713.0,40606.0,17950.0,97500.0,32.3,264221.0,64277.0,40314.0,18074.0,89100.0,32.4,267234.0,65787.0,40938.0,18107.0,85200.0,32.4,270269.0,64326.0,42470.0,18728.0,86700.0,68775.0,52012.5,50278.041666666664,61483.333333333336,74382.54166666667,94483.25,106954.625,124261.79166666667,139737.4375
67,"Cobb County, Georgia",34.9,677402.0,71201.0,65522.0,33110.0,211000.0,35.2,684468,76183,65423,33514,210100,35.4,691820.0,81418.0,65180.0,33282.0,203000.0,35.7,699235.0,88408.0,63920.0,33069.0,196700.0,35.9,708920.0,91080.0,64657.0,33418.0,194900.0,36.0,719133.0,87880.0,65873.0,33778.0,197400.0,36.2,728388.0,83479.0,68818.0,34891.0,205600.0,193800.0,172334.5,180977.95833333334,216000.0,235351.70833333334,250066.25,283522.9166666667,299803.2916666667,317735.625
77,"Coweta County, Georgia",36.1,121528.0,12317.0,61550.0,26161.0,177900.0,36.4,124695,13724,61015,26117,178500,36.7,127212.0,14845.0,60675.0,26146.0,175000.0,37.1,129397.0,16305.0,60813.0,26757.0,176400.0,37.3,131419.0,17013.0,61662.0,27462.0,178800.0,37.6,133416.0,17489.0,62461.0,28106.0,181000.0,37.9,135625.0,16138.0,65244.0,29769.0,182300.0,182328.70833333334,172737.375,181190.83333333334,190146.75,209798.75,223904.66666666666,241939.79166666666,266535.375,283189.9375
85,"Dawson County, Georgia",40.7,21758.0,2584.0,51128.0,25557.0,201400.0,40.3,22121,2949,51989,25158,193800,40.5,22246.0,2998.0,53289.0,26615.0,191200.0,40.8,22387.0,3430.0,53525.0,27330.0,186000.0,41.5,22500.0,3498.0,54457.0,28138.0,174400.0,41.5,22673.0,3156.0,56943.0,28832.0,188300.0,42.8,22939.0,3028.0,59265.0,29958.0,196400.0,284610.625,245852.25,223870.83333333334,228330.875,251762.5,286954.1666666667,298319.1666666667,300834.5833333333,314616.8125
89,"DeKalb County, Georgia",33.9,685371.0,107715.0,51349.0,28412.0,190000.0,34.1,690003,115584,51712,28843,185100,34.3,694671.0,126343.0,51252.0,28760.0,178000.0,34.6,700308.0,130160.0,50856.0,28810.0,168900.0,34.9,707185.0,135640.0,50799.0,28971.0,163600.0,35.1,716331.0,135469.0,51376.0,29486.0,163000.0,35.2,723902.0,134830.0,52623.0,30517.0,168100.0,160808.33333333334,126400.0,124391.66666666667,162425.0,168195.83333333334,172700.0,192253.45833333334,229408.5,261293.125
97,"Douglas County, Georgia",34.5,127800.0,14309.0,55852.0,24515.0,157300.0,34.8,130473,16287,54763,24457,153900,35.0,132124.0,17450.0,54526.0,24115.0,146900.0,35.3,133486.0,21227.0,52691.0,23626.0,135700.0,35.6,135037.0,21621.0,52997.0,23356.0,125500.0,35.9,136520.0,22118.0,53881.0,23158.0,121300.0,36.1,138283.0,20805.0,57384.0,24471.0,127400.0,138208.33333333334,116779.16666666667,107904.16666666667,130609.375,150278.91666666666,160085.20833333334,177388.75,187916.25,196675.5625
